"Date","ADRO.JK","ANTM.JK","BRIS.JK","BRPT.JK","CPIN.JK","EMTK.JK","ERAA.JK","EXCL.JK","HRUM.JK","ICBP.JK","INCO.JK","INDF.JK","INKP.JK","INTP.JK","ITMG.JK","JPFA.JK","KLBF.JK","MDKA.JK","MIKA.JK","MNCN.JK","PGAS.JK","PTBA.JK","SCMA.JK","SMGR.JK","TINS.JK","TLKM.JK","TPIA.JK","UNTR.JK","UNVR.JK","WIKA.JK"
2021-02-01,-0.0166666666666667,0.279279279279279,0.204918032786885,0.242937853107345,0.0695652173913043,0.110526315789474,-0.0505415162454874,-0.00900900900900901,0.316872427983539,-0.0576923076923077,0.104545454545455,0,0.0213178294573643,-0.0654205607476635,-0.00408163265306122,0.128676470588235,0.00341296928327645,0.109803921568627,0.0241379310344828,0.0966183574879227,0.0706319702602231,0.0503875968992248,-0.0917431192660551,-0.0377358490566038,0.313609467455621,0.122186495176849,-0.0417690417690418,-0.0131291028446389,0.0108303249097473,-0.0333333333333333
2021-03-01,-0.00423728813559322,-0.207746478873239,-0.22108843537415,-0.127272727272727,0.138211382113821,0.0758293838862559,-0.0399239543726236,-0.05,-0.2375,0.0728862973760933,-0.279012345679012,0.0909090909090909,-0.206831119544592,-0.022,-0.0635245901639344,0.250814332247557,0.0680272108843537,-0.240282685512367,-0.114478114478114,-0.158590308370044,-0.0868055555555556,-0.033210332103321,-0.141414141414141,0.0220588235294118,-0.272522522522523,-0.0200573065902579,0.141025641025641,-0.0188470066518847,-0.0607142857142857,-0.117816091954023
2021-04-01,0.0595744680851064,0.106666666666667,-0.00436681222707424,0.0416666666666667,0.00714285714285714,-0.013215859030837,0.207920792079208,0,0.055327868852459,-0.0543478260869565,0.0525114155251142,-0.0113636363636364,-0.129186602870813,0.0511247443762781,0.0393873085339169,0.0989583333333333,-0.0828025477707006,0.218604651162791,-0.00380228136882129,0.0261780104712042,-0.0684410646387833,-0.0954198473282443,-0.0735294117647059,0,0.0712074303405573,-0.064327485380117,-0.0943820224719101,-0.0429378531073446,-0.0874524714828897,-0.0618892508143322
2021-05-01,-0.0441767068273092,-0.0160642570281124,-0.164473684210526,-0.1,-0.0425531914893617,0.0491071428571429,-0.0163934426229508,0.177033492822967,-0.00485436893203883,-0.0574712643678161,0.0260303687635575,-0.0268199233716475,-0.0659340659340659,-0.0583657587548638,0.0884210526315789,-0.0568720379146919,0.00694444444444444,0.0305343511450382,-0.0152671755725191,-0.0561224489795918,-0.0897959183673469,-0.0675105485232067,0.0698412698412698,-0.0695443645083933,-0.0751445086705202,0.075,-0.213399503722084,0.0649350649350649,-0.025,-0.131944444444444
2021-06-01,0.0126050420168067,-0.0612244897959184,0.207349081364829,-0.05,-0.0740740740740741,0.0638297872340425,0.15,0.0853658536585366,-0.00975609756097561,-0.00609756097560976,-0.025369978858351,-0.0275590551181102,-0.123529411764706,-0.148760330578512,0.0986460348162476,-0.130653266331658,-0.0344827586206897,0.0888888888888889,0.0852713178294574,0.00540540540540541,-0.0986547085201794,-0.0950226244343891,0.0741839762611276,-0.0206185567010309,-0.06875,-0.0843023255813953,0.239747634069401,-0.1019955654102,-0.153846153846154,-0.208
2021-07-01,0.107883817427386,0.0956521739130435,0.143478260869565,0.134502923976608,-0.02,0.1,-0.0434782608695652,0.00749063670411985,0.133004926108374,-0.00306748466257669,0.193058568329718,-0.0161943319838057,-0.087248322147651,-0.145631067961165,0.193661971830986,-0.0982658959537572,-0.1,0.00680272108843537,-0.075,-0.150537634408602,-0.0298507462686567,0.115,0.270718232044199,-0.189473684210526,0.11744966442953,0.0285714285714286,-0.0432569974554707,-0.0345679012345679,-0.147474747474747,-0.0707070707070707
2021-08-01,-0.0561797752808989,-0.0515873015873016,-0.155893536121673,0.0979381443298969,0.0448979591836735,-0.210909090909091,-0.0833333333333333,-0.00743494423791822,-0.156521739130435,0.0369230769230769,-0.0772727272727273,0.0164609053497942,0.161764705882353,0.278409090909091,-0.056047197640118,0.16025641025641,0.0674603174603175,-0.0472972972972973,-0.1003861003861,0.107594936708861,0.0615384615384615,-0.0538116591928251,-0.117391304347826,0.201298701298701,-0.0840840840840841,0.0493827160493827,-0.164893617021277,0.0268542199488491,-0.0402843601895735,0.0217391304347826
2021-09-01,0.396825396825397,-0.0418410041841004,-0.0810810810810811,-0.0938967136150235,0.00390625,-0.19815668202765,0,0.138576779026217,0.917525773195876,-0.00890207715133531,-0.0955665024630542,0.0283400809716599,0.0854430379746835,-0.0666666666666667,0.3,0.0911602209944751,0.0631970260223048,-0.106382978723404,-0.0128755364806867,-0.0457142857142857,0.14975845410628,0.308056872037915,-0.00985221674876847,-0.113513513513514,-0.00983606557377049,0.0852941176470588,-0.0828025477707006,0.295143212951432,-0.0246913580246914,0.287234042553192
2021-10-01,-0.0454545454545455,0.0218340611353712,0.0343137254901961,-0.0310880829015544,-0.0350194552529183,0.10632183908046,0.0743801652892562,0.0131578947368421,-0.18010752688172,0.0538922155688623,0.0566448801742919,0,-0.0116618075801749,0.126190476190476,0.0384615384615385,-0.126582278481013,0.118881118881119,0.253968253968254,-0.00869565217391304,0.0778443113772455,0.26890756302521,-0.0289855072463768,0.0447761194029851,0.109756097560976,0.0529801324503311,0.029810298102981,0.0555555555555556,-0.0942307692307692,0.118987341772152,0.0289256198347107
2021-11-01,0.0119047619047619,-0.0170940170940171,-0.0734597156398104,-0.0160427807486631,-0.0201612903225806,0,-0.0461538461538462,-0.00324675324675325,0.20655737704918,-0.0397727272727273,-0.0123711340206186,-0.0078740157480315,-0.109144542772861,-0.105708245243129,-0.00231481481481481,-0.072463768115942,0,0.158227848101266,0.043859649122807,0.0666666666666667,-0.00662251655629139,-0.0298507462686567,-0.185714285714286,-0.120879120879121,-0.00628930817610063,0.05,-0.0690789473684211,-0.0934182590233546,0.0135746606334842,-0.0682730923694779
